stage,state_key,parent_state_key,local_state,merged_from_count,rank,kept,prefix_mass_P,future_score_F,score_P_plus_alpha_F,detector_mask,logical_mask,next_column_index,next_boundary_column_index,alpha,Delta,K,best_score_after_next_column,cutoff_score_after_next_column,closure_rejected
step2_branch,27037452836913331631403824999528626483738541429943659539031765509339552650625024,27037452836913331631403824999528626483738541429943659539031765509339552650625024,0,1,26,True,-22.145988618120953,-28.049594680865347,-44.58566436281323,10516587835818419643491836879699968,3736,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,27037452836913331631403824999528626483738626500535391011587670638371685491802112,27037452836913331631403824999528626483738541429943659539031765509339552650625024,1,1,26,True,-27.0780926342984,-30.915597120425524,-51.810570330638825,85081108319308374324772523969720877056,3736,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,8742302737417372754479609368155937042965525066198225116312909171736745307275264,8742302737417372754479609368155937042965525066198225116312909171736745307275264,0,1,27,True,-22.957065743637195,-27.012213143490534,-44.566836258429625,43641223942362531333861579139304019460096,1208,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,8742302737417372754479609368155937042965439995606496119637082613465162264346624,8742302737417372754479609368155937042965525066198225116312909171736745307275264,1,1,27,True,-27.889169759814642,-35.63329125146544,-56.395802760986996,43556153350633534658035020867720976531456,1208,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,1910569472415717224488921252643350485154237416994199737078601313497019551055872,1910569472415717224488921252643350485154237416994199737078601313497019551055872,0,1,28,True,-28.88292652901061,-19.64622830956971,-44.59990917666638,5575282670011130430427551177366452911996928,264,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,1910569472415717224488921252643350485154152346402470740402774755225436508127232,1910569472415717224488921252643350485154237416994199737078601313497019551055872,1,1,28,True,-33.81503054518806,-28.267306417544606,-56.428875679223744,5575197599419401433751724619094869869068288,264,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441077848607564370609896972337354113213649649664,18758318456445223658618499571407441077848607564370609896972337354113213649649664,0,1,29,True,-32.06578473818051,-16.92868184801895,-45.608730216595674,5618870048536838522580208744831286647980032,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441077848522493778878424416432225081080808472576,18758318456445223658618499571407441077848607564370609896972337354113213649649664,1,1,29,True,-36.99788875435796,-14.06267940845878,-48.248032281124985,5618784977945107050024303615799153806802944,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072926637132515850370421031994489523478200320,18758318456445223658618499571407441072926637132515850370421031994489523478200320,0,1,30,True,-21.207819933867878,-31.196331871490063,-46.16488543105993,696899616682078996028903385207596476530688,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072926722203107579367096858552761106521128960,18758318456445223658618499571407441072926637132515850370421031994489523478200320,1,1,30,True,-26.139923950045326,-22.57525376351516,-44.20012696085745,696984687273807992704729943479179519459328,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step3_merged,18758318456445223658618499571407441072229823915663638598725693191952818849710080,-1,-1,2,-1,False,-25.056829240393174,-15.74969958857935,-37.656588911256655,86399829867224333564582670891848040448,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,
